ModR/M (dec),ModR/M,MOD,REG,RM,Effective Address,r32,r16,r8,mm,xmm,/digit
0,00,0,0,0,[eax],,,,,,"0"
1,01,0,0,1,[ecx],,,,,,"0"
2,02,0,0,2,[edx],,,,,,"0"
3,03,0,0,3,[ebx],,,,,,"0"
4,04,0,0,4,[--][--],,,,,,"0"
5,05,0,0,5,disp32,,,,,,"0"
6,06,0,0,6,[esi],,,,,,"0"
7,07,0,0,7,[edi],,,,,,"0"
8,08,0,1,0,[eax],,,,,,"1"
9,09,0,1,1,[ecx],,,,,,"1"
10,0A,0,1,2,[edx],,,,,,"1"
11,0B,0,1,3,[ebx],,,,,,"1"
12,0C,0,1,4,[--][--],,,,,,"1"
13,0D,0,1,5,disp32,,,,,,"1"
14,0E,0,1,6,[esi],,,,,,"1"
15,0F,0,1,7,[edi],,,,,,"1"
16,10,0,2,0,[eax],,,,,,"2"
17,11,0,2,1,[ecx],,,,,,"2"
18,12,0,2,2,[edx],,,,,,"2"
19,13,0,2,3,[ebx],,,,,,"2"
20,14,0,2,4,[--][--],,,,,,"2"
21,15,0,2,5,disp32,,,,,,"2"
22,16,0,2,6,[esi],,,,,,"2"
23,17,0,2,7,[edi],,,,,,"2"
24,18,0,3,0,[eax],,,,,,"3"
25,19,0,3,1,[ecx],,,,,,"3"
26,1A,0,3,2,[edx],,,,,,"3"
27,1B,0,3,3,[ebx],,,,,,"3"
28,1C,0,3,4,[--][--],,,,,,"3"
29,1D,0,3,5,disp32,,,,,,"3"
30,1E,0,3,6,[esi],,,,,,"3"
31,1F,0,3,7,[edi],,,,,,"3"
32,20,0,4,0,[eax],,,,,,"4"
33,21,0,4,1,[ecx],,,,,,"4"
34,22,0,4,2,[edx],,,,,,"4"
35,23,0,4,3,[ebx],,,,,,"4"
36,24,0,4,4,[--][--],,,,,,"4"
37,25,0,4,5,disp32,,,,,,"4"
38,26,0,4,6,[esi],,,,,,"4"
39,27,0,4,7,[edi],,,,,,"4"
40,28,0,5,0,[eax],,,,,,"5"
41,29,0,5,1,[ecx],,,,,,"5"
42,2A,0,5,2,[edx],,,,,,"5"
43,2B,0,5,3,[ebx],,,,,,"5"
44,2C,0,5,4,[--][--],,,,,,"5"
45,2D,0,5,5,disp32,,,,,,"5"
46,2E,0,5,6,[esi],,,,,,"5"
47,2F,0,5,7,[edi],,,,,,"5"
48,30,0,6,0,[eax],,,,,,"6"
49,31,0,6,1,[ecx],,,,,,"6"
50,32,0,6,2,[edx],,,,,,"6"
51,33,0,6,3,[ebx],,,,,,"6"
52,34,0,6,4,[--][--],,,,,,"6"
53,35,0,6,5,disp32,,,,,,"6"
54,36,0,6,6,[esi],,,,,,"6"
55,37,0,6,7,[edi],,,,,,"6"
56,38,0,7,0,[eax],,,,,,"7"
57,39,0,7,1,[ecx],,,,,,"7"
58,3A,0,7,2,[edx],,,,,,"7"
59,3B,0,7,3,[ebx],,,,,,"7"
60,3C,0,7,4,[--][--],,,,,,"7"
61,3D,0,7,5,disp32,,,,,,"7"
62,3E,0,7,6,[esi],,,,,,"7"
63,3F,0,7,7,[edi],,,,,,"7"
64,40,1,0,0,[eax]+disp8,,,,,,"0"
65,41,1,0,1,[ecx]+disp8,,,,,,"0"
66,42,1,0,2,[edx]+disp8,,,,,,"0"
67,43,1,0,3,[ebx]+disp8,,,,,,"0"
68,44,1,0,4,[--][--]+disp8,,,,,,"0"
69,45,1,0,5,[ebp]+disp8,,,,,,"0"
70,46,1,0,6,[esi]+disp8,,,,,,"0"
71,47,1,0,7,[edi]+disp8,,,,,,"0"
72,48,1,1,0,[eax]+disp8,,,,,,"1"
73,49,1,1,1,[ecx]+disp8,,,,,,"1"
74,4A,1,1,2,[edx]+disp8,,,,,,"1"
75,4B,1,1,3,[ebx]+disp8,,,,,,"1"
76,4C,1,1,4,[--][--]+disp8,,,,,,"1"
77,4D,1,1,5,[ebp]+disp8,,,,,,"1"
78,4E,1,1,6,[esi]+disp8,,,,,,"1"
79,4F,1,1,7,[edi]+disp8,,,,,,"1"
80,50,1,2,0,[eax]+disp8,,,,,,"2"
81,51,1,2,1,[ecx]+disp8,,,,,,"2"
82,52,1,2,2,[edx]+disp8,,,,,,"2"
83,53,1,2,3,[ebx]+disp8,,,,,,"2"
84,54,1,2,4,[--][--]+disp8,,,,,,"2"
85,55,1,2,5,[ebp]+disp8,,,,,,"2"
86,56,1,2,6,[esi]+disp8,,,,,,"2"
87,57,1,2,7,[edi]+disp8,,,,,,"2"
88,58,1,3,0,[eax]+disp8,,,,,,"3"
89,59,1,3,1,[ecx]+disp8,,,,,,"3"
90,5A,1,3,2,[edx]+disp8,,,,,,"3"
91,5B,1,3,3,[ebx]+disp8,,,,,,"3"
92,5C,1,3,4,[--][--]+disp8,,,,,,"3"
93,5D,1,3,5,[ebp]+disp8,,,,,,"3"
94,5E,1,3,6,[esi]+disp8,,,,,,"3"
95,5F,1,3,7,[edi]+disp8,,,,,,"3"
96,60,1,4,0,[eax]+disp8,,,,,,"4"
97,61,1,4,1,[ecx]+disp8,,,,,,"4"
98,62,1,4,2,[edx]+disp8,,,,,,"4"
99,63,1,4,3,[ebx]+disp8,,,,,,"4"
100,64,1,4,4,[--][--]+disp8,,,,,,"4"
101,65,1,4,5,[ebp]+disp8,,,,,,"4"
102,66,1,4,6,[esi]+disp8,,,,,,"4"
103,67,1,4,7,[edi]+disp8,,,,,,"4"
104,68,1,5,0,[eax]+disp8,,,,,,"5"
105,69,1,5,1,[ecx]+disp8,,,,,,"5"
106,6A,1,5,2,[edx]+disp8,,,,,,"5"
107,6B,1,5,3,[ebx]+disp8,,,,,,"5"
108,6C,1,5,4,[--][--]+disp8,,,,,,"5"
109,6D,1,5,5,[ebp]+disp8,,,,,,"5"
110,6E,1,5,6,[esi]+disp8,,,,,,"5"
111,6F,1,5,7,[edi]+disp8,,,,,,"5"
112,70,1,6,0,[eax]+disp8,,,,,,"6"
113,71,1,6,1,[ecx]+disp8,,,,,,"6"
114,72,1,6,2,[edx]+disp8,,,,,,"6"
115,73,1,6,3,[ebx]+disp8,,,,,,"6"
116,74,1,6,4,[--][--]+disp8,,,,,,"6"
117,75,1,6,5,[ebp]+disp8,,,,,,"6"
118,76,1,6,6,[esi]+disp8,,,,,,"6"
119,77,1,6,7,[edi]+disp8,,,,,,"6"
120,78,1,7,0,[eax]+disp8,,,,,,"7"
121,79,1,7,1,[ecx]+disp8,,,,,,"7"
122,7A,1,7,2,[edx]+disp8,,,,,,"7"
123,7B,1,7,3,[ebx]+disp8,,,,,,"7"
124,7C,1,7,4,[--][--]+disp8,,,,,,"7"
125,7D,1,7,5,[ebp]+disp8,,,,,,"7"
126,7E,1,7,6,[esi]+disp8,,,,,,"7"
127,7F,1,7,7,[edi]+disp8,,,,,,"7"
128,80,2,0,0,[eax]+disp32,,,,,,"0"
129,81,2,0,1,[ecx]+disp32,,,,,,"0"
130,82,2,0,2,[edx]+disp32,,,,,,"0"
131,83,2,0,3,[ebx]+disp32,,,,,,"0"
132,84,2,0,4,[--][--]+disp32,,,,,,"0"
133,85,2,0,5,[ebp]+disp32,,,,,,"0"
134,86,2,0,6,[esi]+disp32,,,,,,"0"
135,87,2,0,7,[edi]+disp32,,,,,,"0"
136,88,2,1,0,[eax]+disp32,,,,,,"1"
137,89,2,1,1,[ecx]+disp32,,,,,,"1"
138,8A,2,1,2,[edx]+disp32,,,,,,"1"
139,8B,2,1,3,[ebx]+disp32,,,,,,"1"
140,8C,2,1,4,[--][--]+disp32,,,,,,"1"
141,8D,2,1,5,[ebp]+disp32,,,,,,"1"
142,8E,2,1,6,[esi]+disp32,,,,,,"1"
143,8F,2,1,7,[edi]+disp32,,,,,,"1"
144,90,2,2,0,[eax]+disp32,,,,,,"2"
145,91,2,2,1,[ecx]+disp32,,,,,,"2"
146,92,2,2,2,[edx]+disp32,,,,,,"2"
147,93,2,2,3,[ebx]+disp32,,,,,,"2"
148,94,2,2,4,[--][--]+disp32,,,,,,"2"
149,95,2,2,5,[ebp]+disp32,,,,,,"2"
150,96,2,2,6,[esi]+disp32,,,,,,"2"
151,97,2,2,7,[edi]+disp32,,,,,,"2"
152,98,2,3,0,[eax]+disp32,,,,,,"3"
153,99,2,3,1,[ecx]+disp32,,,,,,"3"
154,9A,2,3,2,[edx]+disp32,,,,,,"3"
155,9B,2,3,3,[ebx]+disp32,,,,,,"3"
156,9C,2,3,4,[--][--]+disp32,,,,,,"3"
157,9D,2,3,5,[ebp]+disp32,,,,,,"3"
158,9E,2,3,6,[esi]+disp32,,,,,,"3"
159,9F,2,3,7,[edi]+disp32,,,,,,"3"
160,A0,2,4,0,[eax]+disp32,,,,,,"4"
161,A1,2,4,1,[ecx]+disp32,,,,,,"4"
162,A2,2,4,2,[edx]+disp32,,,,,,"4"
163,A3,2,4,3,[ebx]+disp32,,,,,,"4"
164,A4,2,4,4,[--][--]+disp32,,,,,,"4"
165,A5,2,4,5,[ebp]+disp32,,,,,,"4"
166,A6,2,4,6,[esi]+disp32,,,,,,"4"
167,A7,2,4,7,[edi]+disp32,,,,,,"4"
168,A8,2,5,0,[eax]+disp32,,,,,,"5"
169,A9,2,5,1,[ecx]+disp32,,,,,,"5"
170,AA,2,5,2,[edx]+disp32,,,,,,"5"
171,AB,2,5,3,[ebx]+disp32,,,,,,"5"
172,AC,2,5,4,[--][--]+disp32,,,,,,"5"
173,AD,2,5,5,[ebp]+disp32,,,,,,"5"
174,AE,2,5,6,[esi]+disp32,,,,,,"5"
175,AF,2,5,7,[edi]+disp32,,,,,,"5"
176,B0,2,6,0,[eax]+disp32,,,,,,"6"
177,B1,2,6,1,[ecx]+disp32,,,,,,"6"
178,B2,2,6,2,[edx]+disp32,,,,,,"6"
179,B3,2,6,3,[ebx]+disp32,,,,,,"6"
180,B4,2,6,4,[--][--]+disp32,,,,,,"6"
181,B5,2,6,5,[ebp]+disp32,,,,,,"6"
182,B6,2,6,6,[esi]+disp32,,,,,,"6"
183,B7,2,6,7,[edi]+disp32,,,,,,"6"
184,B8,2,7,0,[eax]+disp32,,,,,,"7"
185,B9,2,7,1,[ecx]+disp32,,,,,,"7"
186,BA,2,7,2,[edx]+disp32,,,,,,"7"
187,BB,2,7,3,[ebx]+disp32,,,,,,"7"
188,BC,2,7,4,[--][--]+disp32,,,,,,"7"
189,BD,2,7,5,[ebp]+disp32,,,,,,"7"
190,BE,2,7,6,[esi]+disp32,,,,,,"7"
191,BF,2,7,7,[edi]+disp32,,,,,,"7"
192,C0,3,0,0,eax,eax,AX,AL,MM0,XMM0,"0"
193,C1,3,0,1,ecx,eax,AX,AL,MM0,XMM0,"0"
194,C2,3,0,2,edx,eax,AX,AL,MM0,XMM0,"0"
195,C3,3,0,3,ebx,eax,AX,AL,MM0,XMM0,"0"
196,C4,3,0,4,esp,eax,AX,AL,MM0,XMM0,"0"
197,C5,3,0,5,ebp,eax,AX,AL,MM0,XMM0,"0"
198,C6,3,0,6,esi,eax,AX,AL,MM0,XMM0,"0"
199,C7,3,0,7,edi,eax,AX,AL,MM0,XMM0,"0"
200,C8,3,1,0,eax,ecx,CX,CL,MM1,XMM2,"1"
201,C9,3,1,1,ecx,ecx,CX,CL,MM1,XMM2,"1"
202,CA,3,1,2,edx,ecx,CX,CL,MM1,XMM2,"1"
203,CB,3,1,3,ebx,ecx,CX,CL,MM1,XMM2,"1"
204,CC,3,1,4,esp,ecx,CX,CL,MM1,XMM2,"1"
205,CD,3,1,5,ebp,ecx,CX,CL,MM1,XMM2,"1"
206,CE,3,1,6,esi,ecx,CX,CL,MM1,XMM2,"1"
207,CF,3,1,7,edi,ecx,CX,CL,MM1,XMM2,"1"
208,D0,3,2,0,eax,edx,DX,DL,MM1,XMM2,"2"
209,D1,3,2,1,ecx,edx,DX,DL,MM1,XMM2,"2"
210,D2,3,2,2,edx,edx,DX,DL,MM1,XMM2,"2"
211,D3,3,2,3,ebx,edx,DX,DL,MM1,XMM2,"2"
212,D4,3,2,4,esp,edx,DX,DL,MM1,XMM2,"2"
213,D5,3,2,5,ebp,edx,DX,DL,MM1,XMM2,"2"
214,D6,3,2,6,esi,edx,DX,DL,MM1,XMM2,"2"
215,D7,3,2,7,edi,edx,DX,DL,MM1,XMM2,"2"
216,D8,3,3,0,eax,ebx,BX,BL,MM1,XMM2,"3"
217,D9,3,3,1,ecx,ebx,BX,BL,MM1,XMM2,"3"
218,DA,3,3,2,edx,ebx,BX,BL,MM1,XMM2,"3"
219,DB,3,3,3,ebx,ebx,BX,BL,MM1,XMM2,"3"
220,DC,3,3,4,esp,ebx,BX,BL,MM1,XMM2,"3"
221,DD,3,3,5,ebp,ebx,BX,BL,MM1,XMM2,"3"
222,DE,3,3,6,esi,ebx,BX,BL,MM1,XMM2,"3"
223,DF,3,3,7,edi,ebx,BX,BL,MM1,XMM2,"3"
224,E0,3,4,0,eax,esp,SP,AH,MM1,XMM2,"4"
225,E1,3,4,1,ecx,esp,SP,AH,MM1,XMM2,"4"
226,E2,3,4,2,edx,esp,SP,AH,MM1,XMM2,"4"
227,E3,3,4,3,ebx,esp,SP,AH,MM1,XMM2,"4"
228,E4,3,4,4,esp,esp,SP,AH,MM1,XMM2,"4"
229,E5,3,4,5,ebp,esp,SP,AH,MM1,XMM2,"4"
230,E6,3,4,6,esi,esp,SP,AH,MM1,XMM2,"4"
231,E7,3,4,7,edi,esp,SP,AH,MM1,XMM2,"4"
232,E8,3,5,0,eax,ebp,BP,CH,MM1,XMM2,"5"
233,E9,3,5,1,ecx,ebp,BP,CH,MM1,XMM2,"5"
234,EA,3,5,2,edx,ebp,BP,CH,MM1,XMM2,"5"
235,EB,3,5,3,ebx,ebp,BP,CH,MM1,XMM2,"5"
