SIB (dec),SIB,SS,Index,Base,Scaled Index,r32
0,00,0,0,0,[EAX],EAX
1,01,0,0,1,[EAX],ECX
2,02,0,0,2,[EAX],EDX
3,03,0,0,3,[EAX],EBX
4,04,0,0,4,[EAX],ESP
5,05,0,0,5,[EAX],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
6,06,0,0,6,[EAX],ESI
7,07,0,0,7,[EAX],EDI
8,08,0,1,0,[ECX],EAX
9,09,0,1,1,[ECX],ECX
10,0A,0,1,2,[ECX],EDX
11,0B,0,1,3,[ECX],EBX
12,0C,0,1,4,[ECX],ESP
13,0D,0,1,5,[ECX],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
14,0E,0,1,6,[ECX],ESI
15,0F,0,1,7,[ECX],EDI
16,10,0,2,0,[EDX],EAX
17,11,0,2,1,[EDX],ECX
18,12,0,2,2,[EDX],EDX
19,13,0,2,3,[EDX],EBX
20,14,0,2,4,[EDX],ESP
21,15,0,2,5,[EDX],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
22,16,0,2,6,[EDX],ESI
23,17,0,2,7,[EDX],EDI
24,18,0,3,0,[EBX],EAX
25,19,0,3,1,[EBX],ECX
26,1A,0,3,2,[EBX],EDX
27,1B,0,3,3,[EBX],EBX
28,1C,0,3,4,[EBX],ESP
29,1D,0,3,5,[EBX],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
30,1E,0,3,6,[EBX],ESI
31,1F,0,3,7,[EBX],EDI
32,20,0,4,0,,EAX
33,21,0,4,1,,ECX
34,22,0,4,2,,EDX
35,23,0,4,3,,EBX
36,24,0,4,4,,ESP
37,25,0,4,5,,"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
38,26,0,4,6,,ESI
39,27,0,4,7,,EDI
40,28,0,5,0,[EBP],EAX
41,29,0,5,1,[EBP],ECX
42,2A,0,5,2,[EBP],EDX
43,2B,0,5,3,[EBP],EBX
44,2C,0,5,4,[EBP],ESP
45,2D,0,5,5,[EBP],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
46,2E,0,5,6,[EBP],ESI
47,2F,0,5,7,[EBP],EDI
48,30,0,6,0,[ESI],EAX
49,31,0,6,1,[ESI],ECX
50,32,0,6,2,[ESI],EDX
51,33,0,6,3,[ESI],EBX
52,34,0,6,4,[ESI],ESP
53,35,0,6,5,[ESI],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
54,36,0,6,6,[ESI],ESI
55,37,0,6,7,[ESI],EDI
56,38,0,7,0,[EDI],EAX
57,39,0,7,1,[EDI],ECX
58,3A,0,7,2,[EDI],EDX
59,3B,0,7,3,[EDI],EBX
60,3C,0,7,4,[EDI],ESP
61,3D,0,7,5,[EDI],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
62,3E,0,7,6,[EDI],ESI
63,3F,0,7,7,[EDI],EDI
64,40,1,0,0,[EAX*2],EAX
65,41,1,0,1,[EAX*2],ECX
